Player, Salary 
Paul Millsap\millspa01,2641691
LaMarcus Aldridge\aldrila01,2641691
Blake Griffin\griffbl01,32405817
James Johnson\johnsja01,2641691
Enes Kanter\kanteen01,2641691
Avery Bradley\bradlav01,8558441
Grant Williams\willigr01,2617800
Tyrese Maxey\maxeyty01,2602920
Keon Johnson\johnske07,2553120
Darius Bazley\bazleda01,2513040
Dante Exum\exumda01,2500000
Trey Lyles\lylestr01,2500000
Zeke Nnaji\nnajize01,2498760
Isaiah Jackson\jacksis01,2451120
Ty Jerome\jeromty01,2412840
Hassan Whiteside\whiteha01,2401537
Andre Drummond\drumman01,2401537
Kent Bazemore\bazemke01,2401537
Austin Rivers\riverau01,2401537
Cory Joseph\josepco01,4910000
Tony Snell\snellto01,2389641
Cody Zeller\zelleco01,2389641
Ben McLemore\mclembe01,2389641
Victor Oladipo\oladivi01,2389641
Dewayne Dedmon\dedmode01,5256308
Otto Porter\porteot01,2389641
Solomon Hill\hillso01,2389641
Leandro Bolmaro\bolmale01,2353320
Usman Garuba\garubus01,2353320
Willy Hernangómez\hernawi01,2327220
Nassir Little\littlna01,2316240
R.J. Hampton\hamptrj01,2303040
Jabari Parker\parkeja01,2283034
Josh Christopher\chrisjo01,2259240
Monta Ellis\ellismo01,2245400
Elfrid Payton\paytoel01,2239544
Rodney Hood\hoodro01,2239544
Dylan Windler\windldy01,2239200
Immanuel Quickley\quickim01,2210640
John Konchar\konchjo01,2197674
Quentin Grimes\grimequ01,2168760
Jordan Poole\poolejo01,2161440
Bol Bol\bolbo01,2161152
Keldon Johnson\johnske04,2145720
Payton Pritchard\pritcpa01,2137440
Kevin Porter Jr.\porteke02,2130240
Gary Clark\clarkga01,2100000
Bones Hyland\hylanbo01,2096880
Raul Neto\netora01,2089448
Frank Kaminsky\kaminfr01,2089448
Nemanja Bjelica\bjeline01,2089448
Stanley Johnson\johnsst04,2089448
Udoka Azubuike\azubuud01,2075880
Jaden McDaniels\mcdanja02,2063280
Malachi Flynn\flynnma01,2048040
Cameron Thomas\thomaca02,2036280
Desmond Bane\banede01,2033160
Jaden Springer\sprinja01,2023800
Day'Ron Sharpe\sharpda01,2009040
Jeremiah Robinson-Earl\robinje02,2000000
Abdel Nader\naderab01,2000000
Théo Maledon\maledth01,2000000
Kenrich Williams\willike04,2000000
Santi Aldama\aldamsa01,1994520
Damian Jones\jonesda03,1977011
Gary Payton II\paytoga02,1977011
Rodney McGruder\mcgruro01,1939350
DeAndre' Bembry\bembrde01,1939350
Quinn Cook\cookqu01,1939350
Timothé Luwawu-Cabarrot\luwawti01,1939350
Damion Lee\leeda03,1910860
Larry Sanders\sandela01,1865547
Shake Milton\miltosh01,1846738
Wesley Iwundu\iwundwe01,1824003
Mitchell Robinson\robinmi01,1802057
Jalen Brunson\brunsja01,1802057
Dwayne Bacon\bacondw01,1789256
Semi Ojeleye\ojelese01,1789256
Malik Monk\monkma01,1789256
Frank Ntilikina\ntilila01,1789256
Tony Bradley\bradlto01,1789256
Sam Dekker\dekkesa01,1789256
Marquese Chriss\chrisma01,1789256
Dennis Smith Jr.\smithde03,1789256
Chasson Randle\randlch01,1789256
Shaquille Harrison\harrish01,1789256
D.J. Wilson\wilsodj01,1789256
Harry Giles\gilesha01,1789256
Jared Cunningham\cunnija01,1789256
Tarik Black\blackta01,1789256
Denzel Valentine\valende01,1789256
Ryan Arcidiacono\arcidry01,4789256
Didi Louzada\louzama01,3304859
Eric Paschall\pascher01,1782621
KZ Okpala\okpalkz01,1782621
Cody Martin\martico01,1782621
Nicolas Claxton\claxtni01,1782621
Bruno Fernando\fernabr01,1782621
Luguentz Dort\dortlu01,1782621
Daniel Gafford\gaffoda01,1782621
Miye Oni\onimi01,1782621
Isaiah Roby\robyis01,1782621
Naz Reid\reidna01,1782621
Jaylen Nowell\nowelja01,1782621
Terance Mann\mannte01,1782621
Mychal Mulder\muldemy01,1782621
Vlatko Čančar\cancavl01,1782621
Dean Wade\wadede01,1782621
Jalen McDaniels\mcdanja01,1782621
Drew Eubanks\eubandr01,1762796
Chimezie Metu\metuch01,1762796
Wenyen Gabriel\gabriwe01,1762796
Yuta Watanabe\watanyu01,1762769
Sviatoslav Mykhailiuk\mykhasv01,1729217
Keita Bates-Diop\bateske01,1729217
Moritz Wagner\wagnemo01,1729217
Thanasis Antetokounmpo\antetth01,1729217
Isaac Bonga\bongais01,1729217
Wayne Selden\seldewa01,1729217
Isaiah Hartenstein\harteis01,3430810
Brad Wanamaker\wanambr01,3458434
Brad Wanamaker\wanambr01,3458434
Alize Johnson\johnsal02,1729217
Theo Pinson\pinsoth01,1729217
Juan Toscano-Anderson\toscaju01,1701593
DaQuan Jeffries\jeffrda01,3370771
Oshae Brissett\brissos01,1701593
Kelan Martin\martike03,1701593
Moses Brown\brownmo01,1701593
Mfiondu Kabengele\kabenmf01,1701593
Isaiah Hartenstein\harteis01,3430810
Herb Jones\joneshe01,1700000
Jordan McLaughlin\mclaujo01,1669178
Javonte Green\greenja02,1669178
Max Strus\strusma01,1669178
Gabe Vincent\vincega01,1669178
Kevin Pangos\pangoke01,1669178
Matt Thomas\thomama02,1669178
